source_collection,source_reference,redistribution_status,n_images
study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,5083
stanford_dogs,"Stanford Dogs Dataset (Khosla et al., 2011); derived from ImageNet",public_dataset_verify_licence,960
dog_skin_split_dataset,Roboflow-exported dog skin split dataset,public_dataset_verify_licence,210
unattributed,,unknown_provenance_verify_required,203
oxford_iiit_pet,"Oxford-IIIT Pet Dataset (Parkhi et al., 2012)",public_dataset_verify_licence,200
internet_derived_archive,curated archive: lumpycows,unknown_provenance_verify_required,176
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Flea_Allergy,unknown_provenance_verify_required,132
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Scabies (Roboflow export),unknown_provenance_verify_required,129
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Ringworm,unknown_provenance_verify_required,122
internet_derived_archive,curated archive: Dogs__Healthy,unknown_provenance_verify_required,119
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Health (Roboflow export),unknown_provenance_verify_required,104
internet_derived_archive,curated archive: Dogs__Fungal_infections,unknown_provenance_verify_required,92
mendeley_pet_dog_skin,Mendeley Data deposit 5dbht54kw7-1,public_dataset_verify_licence,60
internet_derived_archive,curated archive: Dogs__Hypersensitivity_allergic_dermatosis,unknown_provenance_verify_required,56
internet_derived_archive,curated archive: Dogs__Bacterial_dermatosis,unknown_provenance_verify_required,49
internet_derived_archive,curated archive: Dogs__Bacterial_dermatosis (Roboflow export),unknown_provenance_verify_required,47
internet_derived_archive,curated archive: Dogs__Fungal_infections (Roboflow export),unknown_provenance_verify_required,41
internet_derived_archive,curated archive: Dogs__Hypersensitivity_allergic_dermatosis (Roboflow export),unknown_provenance_verify_required,29
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Scabies,unknown_provenance_verify_required,19
internet_derived_archive,curated archive: healthycows,unknown_provenance_verify_required,16
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Ringworm (Roboflow export),unknown_provenance_verify_required,9
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Health,unknown_provenance_verify_required,7
internet_derived_archive,curated archive: CAT_SKIN_DISEASE__Scabies__D2XXGy_WkAEBVy (Roboflow export),unknown_provenance_verify_required,1
