split,domain_score
val,0.9581089
val,0.9565503
val,0.97147644
val,0.96848154
val,0.9309406
val,0.9667405
val,0.942333
val,0.93214196
val,0.974177
val,0.9662639
val,0.94920295
val,0.9483237
val,0.9442322
val,0.96132827
val,0.8230667
val,0.9741742
val,0.9704912
val,0.9482424
val,0.86672145
val,0.94618356
val,0.95209247
val,0.961698
val,0.87834585
val,0.9606144
val,0.9498472
val,0.9624223
val,0.94620246
val,0.9470944
val,0.96005553
val,0.90703106
val,0.95437884
val,0.96680856
val,0.9635472
val,0.97229755
val,0.9529679
val,0.93495995
val,0.95990336
val,0.96654963
val,0.8825795
val,0.90725744
val,0.81707764
val,0.9580391
val,0.9566754
val,0.9475756
val,0.9569132
val,0.90947515
val,0.92529017
val,0.9404169
val,0.91198033
val,0.96275306
val,0.8233224
val,0.91892827
val,0.9445452
val,0.9660124
val,0.9622043
val,0.98274934
val,0.96119577
val,0.97726816
val,0.8755251
val,0.9696474
val,0.9510574
val,0.95059067
val,0.95981014
val,0.92567426
val,0.95426565
val,0.974164
val,0.9671516
val,0.97017217
val,0.96113825
val,0.95478547
val,0.827361
val,0.8484557
val,0.94810975
val,0.89416575
val,0.9575769
val,0.9672106
val,0.9494362
val,0.89523363
val,0.9432585
val,0.97190475
val,0.9657085
val,0.9403969
val,0.9714189
val,0.96248484
val,0.9449153
val,0.87319446
val,0.68871176
val,0.92873746
val,0.9579786
val,0.9611071
val,0.95688677
val,0.9647219
val,0.9639548
val,0.9661991
val,0.9646435
val,0.9784583
val,0.9762074
val,0.98484975
val,0.979787
val,0.9894599
val,0.97170067
val,0.99102044
val,0.9759169
val,0.97885597
val,0.9872447
val,0.9887966
val,0.99329793
val,0.9880145
val,0.9910035
val,0.94289654
val,0.98486084
val,0.9890307
val,0.97839713
val,0.98559886
val,0.9695097
val,0.9834566
val,0.9694476
val,0.9829408
val,0.9985268
val,0.9836298
val,0.9867451
val,0.98623586
val,0.9803786
val,0.9807676
val,0.9851248
val,0.9872862
val,0.9857617
val,0.9882097
val,0.9839128
val,0.978992
val,0.99000114
val,0.97365284
val,0.9834913
val,0.9682134
val,0.95730233
val,0.984988
val,0.9745345
val,0.9747703
val,0.9908083
val,0.97682756
val,0.97765046
val,0.98542356
val,0.9840176
val,0.9814656
val,0.98314786
val,0.9864341
val,0.9668175
val,0.99007684
val,0.9850571
val,0.97671974
val,0.97912323
val,0.98409486
val,0.99205685
val,0.97195023
val,0.9812821
val,0.9913323
val,0.98774314
val,0.9960468
val,0.99250215
val,0.98307014
val,0.981387
val,0.97704303
val,0.98553765
val,0.9786825
val,0.99267644
val,0.9802852
val,0.98566973
