panel_order,path,true_species,true_disease,pred_disease_known,known_confidence,correct_known,selection_note
1,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/Cat_normal/9e3c4b163472__additional_data_curated__hard_validation__188acc.jpg,Cat,Cat_normal,Cat_normal,0.9975503497650293,True,clean_path
2,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/Ringworm in Cat/319b3e8cd53a__additional_data_curated__hard_validation__96366f.png,Cat,Ringworm in Cat,Ringworm in Cat,0.9981560478062792,True,clean_path
3,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/Skin Allergy in Cat/102485f8248c__additional_data_curated__hard_validation__bed3cb.jpg,Cat,Skin Allergy in Cat,Skin Allergy in Cat,0.9954611769704009,True,clean_path
4,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/scabies cat/73a8e6025281__additional_data_curated__hard_validation__a1997f.jpg,Cat,scabies cat,scabies cat,0.9967519467408601,True,clean_path
5,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Dog_normal/357a22b047ac__additional_data_curated__hard_validation__c948b2.jpg,Dog,Dog_normal,Dog_normal,0.9943613342943507,True,clean_path
6,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Dermatitis in Dog/d793f34421c0__additional_data_curated__hard_validation__ad20e7.jpg,Dog,Dermatitis in Dog,Dermatitis in Dog,0.9976361714150108,True,clean_path
7,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Fungal Infection in Dog/050f4d833d3a__additional_data_curated__hard_validation__b8f1a7.jpg,Dog,Fungal Infection in Dog,Fungal Infection in Dog,0.9966341691450803,True,clean_path
8,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Skin Allergy in Dog/f19d4435652e__additional_data_curated__hard_validation__32f24f.jpg,Dog,Skin Allergy in Dog,Skin Allergy in Dog,0.9968100569057194,True,clean_path
9,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cattles/Normal Skin/a3047ec57f7e__additional_data_curated__external_validation__db.png,Cattles,Normal Skin,Normal Skin,0.9963294876118205,True,clean_path
10,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cattles/Lumpy Skin/49d625c84e57__additional_data_curated__external_validation__42.png,Cattles,Lumpy Skin,Lumpy Skin,0.9966454673942275,True,clean_path
