panel_order,path,true_species,true_disease,pred_disease_known,known_confidence,correct_known,selection_note
1,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/Cat_normal/f09fa260f546__additional_data_curated__hard_validation__be6d19.jpg,Cat,Cat_normal,Eye Infection in Cat,0.9927620415158196,False,clean_path
2,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/Ringworm in Cat/ef6c64900773__additional_data_curated__hard_validation__34f8e8.png,Cat,Ringworm in Cat,Skin Allergy in Cat,0.9916153329885209,False,clean_path
3,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/Skin Allergy in Cat/bb1ab41e77d6__additional_data_curated__hard_validation__85141d.jpg,Cat,Skin Allergy in Cat,Cat_normal,0.9791268809679962,False,clean_path
4,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cat/scabies cat/f43205a3e9dc__additional_data_curated__hard_validation__cdddb7.png,Cat,scabies cat,Skin Allergy in Cat,0.9906756334447582,False,clean_path
5,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Dog_normal/4d1577a718df__additional_data_curated__hard_validation__24da90.jpg,Dog,Dog_normal,Skin Allergy in Dog,0.9793451410722209,False,clean_path
6,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Dermatitis in Dog/91f4b4a03df6__additional_data_curated__hard_validation__4f43db.jpg,Dog,Dermatitis in Dog,Ringworm in Dog,0.9931638219721608,False,clean_path
7,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Fungal Infection in Dog/cde87acfdd7f__additional_data_curated__hard_validation__09c322.jpg,Dog,Fungal Infection in Dog,Skin Allergy in Dog,0.9921224999207189,False,clean_path
8,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Dog/Skin Allergy in Dog/a9f7d81e9891__additional_data_curated__hard_validation__2fae24.jpg,Dog,Skin Allergy in Dog,Dermatitis in Dog,0.9682868899475817,False,clean_path
9,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cattles/Normal Skin/1c0916f87078__additional_data_curated__external_validation__63.png,Cattles,Normal Skin,Lumpy Skin,0.9868507284311211,False,clean_path
10,/mnt/e/Ringworm detection project/DFAN-main/evaluation_data/development_external_2026_05_02/Cattles/Lumpy Skin/c02976043bb8__additional_data_curated__hard_validation__4e892b.jpg,Cattles,Lumpy Skin,Normal Skin,0.9964603205058786,False,clean_path
