split,model,disease,f1,ci_low,ci_high,support
development_external,VetDerm-Mobile,Cat_normal,0.8018433179723502,0.7277156177156177,0.8530991045175086,111
development_external,VetDerm-Mobile,Ringworm in Cat,0.753731343283582,0.6963756909713082,0.8109225367099383,131
development_external,VetDerm-Mobile,Skin Allergy in Cat,0.5714285714285714,0.4845135566188198,0.6447192928039702,132
development_external,VetDerm-Mobile,scabies cat,0.8840125391849529,0.8422660348620747,0.9178490990990991,150
development_external,VetDerm-Mobile,Dog_normal,0.9495798319327731,0.9200795339979836,0.9746419428946504,119
development_external,VetDerm-Mobile,Dermatitis in Dog,0.9052631578947369,0.8548177635163771,0.9454545454545454,96
development_external,VetDerm-Mobile,Fungal Infection in Dog,0.9260700389105059,0.8888307224274511,0.9578140578265204,133
development_external,VetDerm-Mobile,Skin Allergy in Dog,0.9132947976878613,0.866443736730361,0.9540001442793248,85
development_external,VetDerm-Mobile,Normal Skin,0.7759036144578313,0.7328326773427876,0.8206735259242158,167
development_external,VetDerm-Mobile,Lumpy Skin,0.7336956521739131,0.6827794561933535,0.7783608713850079,227
