split,coverage,accuracy,n
val,1.0,0.9665027658266748,3254
val,0.9,0.9894161829976101,2929
val,0.8,0.9927007299270073,2603
val,0.7,0.9929762949956101,2278
internal_test,1.0,0.9653267873580853,3259
internal_test,0.9,0.9890896692806,2933
internal_test,0.8,0.9919447640966629,2607
internal_test,0.7,0.9943007452871547,2281
development_external,1.0,0.8023686158401184,1351
development_external,0.9,0.8396381578947368,1216
development_external,0.8,0.8695652173913043,1081
development_external,0.7,0.8911205073995772,946
