split,coverage_retained,n_retained,accuracy,min_confidence_retained
val,1.0,2541,0.9665486029122393,0.22105269698876
val,0.9,2287,0.9890686488850022,0.9821935468084166
val,0.8,2033,0.9906542056074766,0.9888049187251884
val,0.7,1779,0.9921304103428893,0.9910829201682886
internal_test,1.0,2542,0.970889063729347,0.2668484182176386
internal_test,0.9,2288,0.9886363636363636,0.98192694245185
internal_test,0.8,2034,0.9916420845624385,0.9889189529436375
internal_test,0.7,1779,0.9938167509836987,0.9910040027809105
development_external,1.0,1351,0.8023686158401184,0.188203562698973
development_external,0.9,1216,0.8396381578947368,0.5240939536137905
development_external,0.8,1081,0.8695652173913043,0.7405681053238615
development_external,0.7,946,0.8911205073995772,0.9128704759098166
