epoch,train_loss,val_n,val_species_accuracy,val_disease_accuracy,val_macro_f1,val_top3_accuracy,val_roc_auc_macro,val_pr_auc_macro,lr
1,0.4097555282744622,3254,0.9938537185003073,0.9631223110018439,0.9640691800076228,0.9929317762753535,0.9964800936832491,0.9778863478562781,5e-06
2,0.40302010823679196,3254,0.9947756607252612,0.964658881376767,0.9659261634606656,0.9932390903503381,0.9964606935773207,0.9764981077145685,5e-06
3,0.40140256032084054,3254,0.9938537185003073,0.9637369391518131,0.964440383306601,0.9935464044253227,0.9962664885286678,0.977446454141573,5e-06
4,0.39977672634780126,3254,0.9953902888752305,0.9640442532267978,0.965218100012649,0.9929317762753535,0.9963715751606061,0.9790501517528398,5e-06
5,0.3986870452289992,3254,0.9950829748002459,0.9665027658266748,0.9677244426261011,0.9935464044253227,0.9960246969973493,0.9787327169525998,5e-06
6,0.39478487342341395,3254,0.994161032575292,0.9643515673017824,0.9664246477282661,0.9926244622003688,0.9959588069746607,0.9779538615022129,5e-06
7,0.39541741769112093,3254,0.9935464044253227,0.9631223110018439,0.9646407853963327,0.9932390903503381,0.9958790685924213,0.9766812280514702,5e-06
8,0.3951124231771436,3254,0.9944683466502766,0.9628149969268592,0.9635117768512513,0.9923171481253842,0.9957187544199525,0.9769283306742059,2.5e-06
9,0.3921133418177307,3254,0.9947756607252612,0.9640442532267978,0.9648706552517097,0.9932390903503381,0.9960270895567672,0.9774426278779794,2.5e-06
10,0.3952269352204046,3254,0.9947756607252612,0.9637369391518131,0.9655708661646634,0.9932390903503381,0.9960347491352141,0.9780629961731587,2.5e-06
